ID,time,category,location,sublocation,description,disposition
2109290003,02:08,"Noise Complaint","Broadway","Macs At 19 Broadway","RP advises of subjects making a lot of noise on the patio area of the bar.","Service Provided."
2109290004,07:15,"Abandoned Vehicle","Olema Rd/Manor Rd",N/A,"At the intersection. Small gold suv parked for over a week.","Log Entry Only."
2109290006,07:48,"Town Code Violation","Taylor Dr","Bennett House","RP reporting construction since early this morning in violation of town code.","Service Provided."
2109290010,08:33,"Welfare Check","Cascade Dr",N/A,"RP requesting a welfare check on her sister. RP is concerned for her mental state and believes she needs to be taken to the hospital. Sister has History of Mental Health issues.","Service Provided."
2109290011,09:21,"Footbeat","Plaza-Center Bl",N/A,"","Service Provided."
2109290012,10:13,"ALARM","School/Park Rd",N/A,"RP reporting a car alarm has been going off for half an hour and would like an officer to respond.","Service Provided."
2109290013,10:21,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2109290019,11:54,"Citizen Assist","Lumber And Hardware-Broadway",N/A,"","Service Provided."
2109290023,12:32,"Cite Sign Off","Bolinas Rd","Police Department","RP at the front counter for a citation signoff for cracked windshield.","Service Provided."
2109290029,16:07,"Parking Complaint","Creek Rd",N/A,"Black Honda and a blue sedan parked contrary to signs and not leaving enough clearance. Vehicles are having to back up and turn around.","Service Provided."
2109290042,22:10,"Footbeat","Rudy Contratti Field-Bank St",N/A,"Behind.","Extra Patrol."
2109290043,22:18,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109300001,00:10,"With Subjects","Bank St/Broadway",N/A,"","Verbal Warning."
2109300012,08:50,"Footbeat","Plaza-Center Bl",N/A,"","Extra Patrol."
2109300015,09:30,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2109300016,09:50,"Juvenile Problem","Day Caring Preschool-Inc-Sir Francis Drake Bl",N/A,"In front of the community church on Oak Manor.","Service Provided."
2109300018,10:13,"Lost/Stolen","Scenic Rd/Holly Rd",N/A,"RP lost her car keys in the area.","Log Entry Only."
2109300020,10:28,"Fingerprinting","Bolinas Rd","Police Department","","Service Provided."
2109300022,11:36,"Fingerprinting","Bolinas Rd","Police Department","","Service Provided."
2109300024,12:01,"Fingerprinting","Bolinas Rd","Police Department","","Service Provided."
2109300025,12:35,"Vandalism","Scenic Rd",N/A,"RP advised that within the past two weeks, someone went under the hood of his truck, and cut the ignition wires.","Report Taken."
2109300027,13:15,"Assist Outside Agency - Other","Bolinas Rd","Police Department","MMWD Ranger had a "Red Flag Warning" sign. on a Town of Fairfax barricade, that didn't belong to MMWD.","Log Entry Only."
2109300028,14:14,"Welfare Check","Cascade Dr",N/A,"RP is requesting a welfare check on his wife that lives at the above address.","Service Provided."
2109300031,15:41,"Juvenile Problem","Police Department-Bolinas Rd",N/A,"With two juvs in the back lot of the PD.","Service Provided."
2109300032,16:02,"Assist Outside Agency - Law Enforcement","Sir Francis Drake Bl",N/A,"RP requested we respond for a medical aid, and obtain pertinent information. CMPA has an extended ETA.","Outside Assist."
2109300034,16:13,"Welfare Check","Sir Francis Drake Bl","Creekside East","RP advised that one of her room-mates was acting strange and may be under the influence.","Service Provided."
